;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;;35 a 39;100.649;48.172;52.477;91,8;108,9;;;;;;;;;;;;;
;;40 a 44;85.708;40.601;45.107;90,0;111,1;;;;;;;;;;;;;
;;45 a 49;81.915;38.425;43.490;88,4;113,2;;;;;;;;;;;;;
;;50 a 54;80.092;37.302;42.790;87,2;114,7;;;;;;;;;;;;;
;;55 a 59;68.062;31.513;36.549;86,2;116,0;;;;;;;;;;;;;
;;60 a 64;54.325;25.002;29.323;85,3;117,3;;;;;;;;;;;;;
;;65 a 69;40.802;18.636;22.166;84,1;118,9;;;;;;;;;;;;;
;;70 a 74;28.537;12.747;15.790;80,7;123,9;;;;;;;;;;;;;
;;75 a 79;20.900;9.179;11.721;78,3;127,7;;;;;;;;;;;;;
;;80 a 84;14.082;5.791;8.291;69,8;143,2;;;;;;;;;;;;;
;;85 y más;13.865;5.344;8.521;62,7;159,4;;;;;;;;;;;;;
;Centro Poblado;Total;328.738;168.277;160.461;104,9;95,4;;;;;;;;;;;;;
;;0 a 4;30.364;15.463;14.901;103,8;96,4;;;;;;;;;;;;;
;;5 a 9;34.382;17.690;16.692;106,0;94,4;;;;;;;;;;;;;
;;10 a 14;35.896;18.573;17.323;107,2;93,3;;;;;;;;;;;;;
;;15 a 19;33.284;17.334;15.950;108,7;92,0;;;;;;;;;;;;;
;;20 a 24;27.285;13.912;13.373;104,0;96,1;;;;;;;;;;;;;
;;25 a 29;23.787;12.034;11.753;102,4;97,7;;;;;;;;;;;;;
;;30 a 34;21.585;10.762;10.823;99,4;100,6;;;;;;;;;;;;;
;;35 a 39;20.304;10.052;10.252;98,0;102,0;;;;;;;;;;;;;
;;40 a 44;18.144;9.179;8.965;102,4;97,7;;;;;;;;;;;;;
;;45 a 49;17.448;8.960;8.488;105,6;94,7;;;;;;;;;;;;;
;;50 a 54;15.854;8.304;7.550;110,0;90,9;;;;;;;;;;;;;
;;55 a 59;13.309;6.965;6.344;109,8;91,1;;;;;;;;;;;;;
;;60 a 64;10.476;5.536;4.940;112,1;89,2;;;;;;;;;;;;;
;;65 a 69;8.620;4.431;4.189;105,8;94,5;;;;;;;;;;;;;
;;70 a 74;6.202;3.195;3.007;106,3;94,1;;;;;;;;;;;;;
;;75 a 79;5.578;2.876;2.702;106,4;93,9;;;;;;;;;;;;;
;;80 a 84;3.279;1.630;1.649;98,8;101,2;;;;;;;;;;;;;
;;85 y más;2.941;1.381;1.560;88,5;113,0;;;;;;;;;;;;;
;Rural disperso;Total;143.158;79.686;63.472;125,5;79,7;;;;;;;;;;;;;
;;0 a 4;14.678;7.412;7.266;102,0;98,0;;;;;;;;;;;;;
;;5 a 9;16.163;8.333;7.830;106,4;94,0;;;;;;;;;;;;;
;;10 a 14;16.087;8.536;7.551;113,0;88,5;;;;;;;;;;;;;
;;15 a 19;14.106;7.856;6.250;125,7;79,6;;;;;;;;;;;;;
;;20 a 24;12.057;6.582;5.475;120,2;83,2;;;;;;;;;;;;;
;;25 a 29;10.640;5.791;4.849;119,4;83,7;;;;;;;;;;;;;
;;30 a 34;9.567;5.248;4.319;121,5;82,3;;;;;;;;;;;;;
;;35 a 39;8.646;4.817;3.829;125,8;79,5;;;;;;;;;;;;;
;;40 a 44;8.071;4.610;3.461;133,2;75,1;;;;;;;;;;;;;
;;45 a 49;7.604;4.522;3.082;146,7;68,2;;;;;;;;;;;;;
;;50 a 54;6.765;4.143;2.622;158,0;63,3;;;;;;;;;;;;;
;;55 a 59;5.539;3.404;2.135;159,4;62,7;;;;;;;;;;;;;
;;60 a 64;4.230;2.635;1.595;165,2;60,5;;;;;;;;;;;;;
;;65 a 69;3.314;2.172;1.142;190,2;52,6;;;;;;;;;;;;;
;;70 a 74;2.249;1.453;796;182,5;54,8;;;;;;;;;;;;;
;;75 a 79;1.698;1.091;607;179,7;55,6;;;;;;;;;;;;;
;;80 a 84;947;606;341;177,7;56,3;;;;;;;;;;;;;
;;85 y más;797;475;322;147,5;67,8;;;;;;;;;;;;;
15_Boyacá;Total;Total;1.135.698;559.084;576.614;97,0;103,1;;;;;;;;;;;;;
;;0 a 4;72.558;37.189;35.369;105,1;95,1;;;;;;;;;;;;;
;;5 a 9;84.414;42.957;41.457;103,6;96,5;;;;;;;;;;;;;
;;10 a 14;96.448;49.547;46.901;105,6;94,7;;;;;;;;;;;;;
;;15 a 19;101.274;52.894;48.380;109,3;91,5;;;;;;;;;;;;;
;;20 a 24;90.373;46.268;44.105;104,9;95,3;;;;;;;;;;;;;
;;25 a 29;79.783;39.575;40.208;98,4;101,6;;;;;;;;;;;;;
;;30 a 34;77.219;37.725;39.494;95,5;104,7;;;;;;;;;;;;;
;;35 a 39;79.316;38.714;40.602;95,3;104,9;;;;;;;;;;;;;
;;40 a 44;72.665;35.524;37.141;95,6;104,6;;;;;;;;;;;;;
;;45 a 49;70.591;33.915;36.676;92,5;108,1;;;;;;;;;;;;;
;;50 a 54;68.116;32.402;35.714;90,7;110,2;;;;;;;;;;;;;
;;55 a 59;61.623;29.279;32.344;90,5;110,5;;;;;;;;;;;;;
;;60 a 64;52.264;24.722;27.542;89,8;111,4;;;;;;;;;;;;;
;;65 a 69;41.885;19.871;22.014;90,3;110,8;;;;;;;;;;;;;
;;70 a 74;31.428;14.399;17.029;84,6;118,3;;;;;;;;;;;;;
;;75 a 79;24.694;11.139;13.555;82,2;121,7;;;;;;;;;;;;;
;;80 a 84;17.077;7.298;9.779;74,6;134,0;;;;;;;;;;;;;
;;85 y más;13.970;5.666;8.304;68,2;146,6;;;;;;;;;;;;;
;Cabecera;Total;683.329;324.646;358.683;90,5;110,5;;;;;;;;;;;;;
;;0 a 4;44.032;22.466;21.566;104,2;96,0;;;;;;;;;;;;;
;;5 a 9;50.244;25.542;24.702;103,4;96,7;;;;;;;;;;;;;
;;10 a 14;56.648;28.890;27.758;104,1;96,1;;;;;;;;;;;;;
;;15 a 19;60.889;31.245;29.644;105,4;94,9;;;;;;;;;;;;;
;;20 a 24;58.908;29.281;29.627;98,8;101,2;;;;;;;;;;;;;
;;25 a 29;52.640;25.374;27.266;93,1;107,5;;;;;;;;;;;;;
;;30 a 34;49.894;23.551;26.343;89,4;111,9;;;;;;;;;;;;;
;;35 a 39;50.834;23.636;27.198;86,9;115,1;;;;;;;;;;;;;
;;40 a 44;44.868;20.668;24.200;85,4;117,1;;;;;;;;;;;;;
;;45 a 49;42.594;19.099;23.495;81,3;123,0;;;;;;;;;;;;;
;;50 a 54;41.171;18.293;22.878;80,0;125,1;;;;;;;;;;;;;
;;55 a 59;36.340;16.302;20.038;81,4;122,9;;;;;;;;;;;;;
;;60 a 64;29.265;13.001;16.264;79,9;125,1;;;;;;;;;;;;;
;;65 a 69;21.599;9.616;11.983;80,2;124,6;;;;;;;;;;;;;
;;70 a 74;15.387;6.476;8.911;72,7;137,6;;;;;;;;;;;;;
;;75 a 79;11.875;4.895;6.980;70,1;142,6;;;;;;;;;;;;;
;;80 a 84;8.663;3.408;5.255;64,9;154,2;;;;;;;;;;;;;
;;85 y más;7.478;2.903;4.575;63,5;157,6;;;;;;;;;;;;;
;Centro Poblado;Total;34.035;18.527;15.508;119,5;83,7;;;;;;;;;;;;;
;;0 a 4;2.132;1.109;1.023;108,4;92,2;;;;;;;;;;;;;
;;5 a 9;2.471;1.255;1.216;103,2;96,9;;;;;;;;;;;;;
;;10 a 14;2.972;1.534;1.438;106,7;93,7;;;;;;;;;;;;;
;;15 a 19;2.825;1.420;1.405;101,1;98,9;;;;;;;;;;;;;
;;20 a 24;2.656;1.466;1.190;123,2;81,2;;;;;;;;;;;;;
;;25 a 29;2.723;1.658;1.065;155,7;64,2;;;;;;;;;;;;;
;;30 a 34;2.821;1.714;1.107;154,8;64,6;;;;;;;;;;;;;
;;35 a 39;2.825;1.708;1.117;152,9;65,4;;;;;;;;;;;;;
;;40 a 44;2.395;1.414;981;144,1;69,4;;;;;;;;;;;;;
;;45 a 49;2.239;1.264;975;129,6;77,1;;;;;;;;;;;;;
;;50 a 54;1.980;1.076;904;119,0;84,0;;;;;;;;;;;;;
;;55 a 59;1.632;829;803;103,2;96,9;;;;;;;;;;;;;
;;60 a 64;1.367;700;667;104,9;95,3;;;;;;;;;;;;;
;;65 a 69;998;488;510;95,7;104,5;;;;;;;;;;;;;
;;70 a 74;781;373;408;91,4;109,4;;;;;;;;;;;;;
;;75 a 79;540;243;297;81,8;122,2;;;;;;;;;;;;;
;;80 a 84;364;150;214;70,1;142,7;;;;;;;;;;;;;
;;85 y más;314;126;188;67,0;149,2;;;;;;;;;;;;;
;Rural disperso;Total;418.334;215.911;202.423;106,7;93,8;;;;;;;;;;;;;
;;0 a 4;26.394;13.614;12.780;106,5;93,9;;;;;;;;;;;;;
;;5 a 9;31.699;16.160;15.539;104,0;96,2;;;;;;;;;;;;;
;;10 a 14;36.828;19.123;17.705;108,0;92,6;;;;;;;;;;;;;
;;15 a 19;37.560;20.229;17.331;116,7;85,7;;;;;;;;;;;;;
;;20 a 24;28.809;15.521;13.288;116,8;85,6;;;;;;;;;;;;;
;;25 a 29;24.420;12.543;11.877;105,6;94,7;;;;;;;;;;;;;
;;30 a 34;24.504;12.460;12.044;103,5;96,7;;;;;;;;;;;;;
;;35 a 39;25.657;13.370;12.287;108,8;91,9;;;;;;;;;;;;;
;;40 a 44;25.402;13.442;11.960;112,4;89,0;;;;;;;;;;;;;
;;45 a 49;25.758;13.552;12.206;111,0;90,1;;;;;;;;;;;;;
;;50 a 54;24.965;13.033;11.932;109,2;91,6;;;;;;;;;;;;;
;;55 a 59;23.651;12.148;11.503;105,6;94,7;;;;;;;;;;;;;
;;60 a 64;21.632;11.021;10.611;103,9;96,3;;;;;;;;;;;;;
;;65 a 69;19.288;9.767;9.521;102,6;97,5;;;;;;;;;;;;;
;;70 a 74;15.260;7.550;7.710;97,9;102,1;;;;;;;;;;;;;
;;75 a 79;12.279;6.001;6.278;95,6;104,6;;;;;;;;;;;;;
;;80 a 84;8.050;3.740;4.310;86,8;115,2;;;;;;;;;;;;;
;;85 y más;6.178;2.637;3.541;74,5;134,3;;;;;;;;;;;;;
17_Caldas;Total;Total;923.472;447.499;475.973;94,0;106,4;;;;;;;;;;;;;
;;0 a 4;49.314;25.248;24.066;104,9;95,3;;;;;;;;;;;;;
;;5 a 9;55.748;28.434;27.314;104,1;96,1;;;;;;;;;;;;;
;;10 a 14;65.994;33.732;32.262;104,6;95,6;;;;;;;;;;;;;
;;15 a 19;74.623;38.355;36.268;105,8;94,6;;;;;;;;;;;;;
;;20 a 24;74.771;37.456;37.315;100,4;99,6;;;;;;;;;;;;;
;;25 a 29;69.867;34.498;35.369;97,5;102,5;;;;;;;;;;;;;
;;30 a 34;63.602;31.032;32.570;95,3;105,0;;;;;;;;;;;;;
;;35 a 39;65.089;31.199;33.890;92,1;108,6;;;;;;;;;;;;;
;;40 a 44;57.183;27.355;29.828;91,7;109,0;;;;;;;;;;;;;
;;45 a 49;59.975;28.351;31.624;89,7;111,5;;;;;;;;;;;;;
;;50 a 54;62.421;29.276;33.145;88,3;113,2;;;;;;;;;;;;;
;;55 a 59;58.961;27.288;31.673;86,2;116,1;;;;;;;;;;;;;
;;60 a 64;51.136;23.782;27.354;86,9;115,0;;;;;;;;;;;;;
;;65 a 69;39.572;18.343;21.229;86,4;115,7;;;;;;;;;;;;;
;;70 a 74;28.808;13.250;15.558;85,2;117,4;;;;;;;;;;;;;
;;75 a 79;20.626;9.084;11.542;78,7;127,1;;;;;;;;;;;;;
;;80 a 84;14.004;5.965;8.039;74,2;134,8;;;;;;;;;;;;;
;;85 y más;11.778;4.851;6.927;70,0;142,8;;;;;;;;;;;;;
;Cabecera;Total;695.854;327.301;368.553;88,8;112,6;;;;;;;;;;;;;
;;0 a 4;35.392;18.030;17.362;103,8;96,3;;;;;;;;;;;;;
;;5 a 9;39.916;20.297;19.619;103,5;96,7;;;;;;;;;;;;;
;;10 a 14;46.607;23.609;22.998;102,7;97,4;;;;;;;;;;;;;
;;15 a 19;54.145;27.497;26.648;103,2;96,9;;;;;;;;;;;;;
;;20 a 24;58.015;28.626;29.389;97,4;102,7;;;;;;;;;;;;;
;;25 a 29;54.255;26.401;27.854;94,8;105,5;;;;;;;;;;;;;
;;30 a 34;49.220;23.595;25.625;92,1;108,6;;;;;;;;;;;;;
;;35 a 39;49.587;23.169;26.418;87,7;114,0;;;;;;;;;;;;;
;;40 a 44;42.789;19.831;22.958;86,4;115,8;;;;;;;;;;;;;
;;45 a 49;44.856;20.296;24.560;82,6;121,0;;;;;;;;;;;;;
;;50 a 54;47.715;21.370;26.345;81,1;123,3;;;;;;;;;;;;;
;;55 a 59;45.288;19.835;25.453;77,9;128,3;;;;;;;;;;;;;
;;60 a 64;39.320;17.235;22.085;78,0;128,1;;;;;;;;;;;;;
;;65 a 69;30.371;13.190;17.181;76,8;130,3;;;;;;;;;;;;;
;;70 a 74;22.117;9.639;12.478;77,2;129,5;;;;;;;;;;;;;
;;75 a 79;15.931;6.620;9.311;71,1;140,6;;;;;;;;;;;;;
;;80 a 84;10.918;4.390;6.528;67,2;148,7;;;;;;;;;;;;;
;;85 y más;9.412;3.671;5.741;63,9;156,4;;;;;;;;;;;;;
;Centro Poblado;Total;56.889;28.953;27.936;103,6;96,5;;;;;;;;;;;;;
;;0 a 4;3.304;1.710;1.594;107,3;93,2;;;;;;;;;;;;;
;;5 a 9;3.751;1.869;1.882;99,3;100,7;;;;;;;;;;;;;
;;10 a 14;4.560;2.413;2.147;112,4;89,0;;;;;;;;;;;;;
;;15 a 19;5.016;2.564;2.452;104,6;95,6;;;;;;;;;;;;;
;;20 a 24;4.261;2.194;2.067;106,1;94,2;;;;;;;;;;;;;
;;25 a 29;4.207;2.232;1.975;113,0;88,5;;;;;;;;;;;;;
;;30 a 34;3.888;2.048;1.840;111,3;89,8;;;;;;;;;;;;;
;;35 a 39;3.921;2.068;1.853;111,6;89,6;;;;;;;;;;;;;
;;40 a 44;3.486;1.781;1.705;104,5;95,7;;;;;;;;;;;;;
;;45 a 49;3.652;1.800;1.852;97,2;102,9;;;;;;;;;;;;;
;;50 a 54;3.611;1.772;1.839;96,4;103,8;;;;;;;;;;;;;
;;55 a 59;3.394;1.691;1.703;99,3;100,7;;;;;;;;;;;;;
;;60 a 64;2.849;1.436;1.413;101,6;98,4;;;;;;;;;;;;;
;;65 a 69;2.254;1.132;1.122;100,9;99,1;;;;;;;;;;;;;
;;70 a 74;1.754;824;930;88,6;112,9;;;;;;;;;;;;;
;;75 a 79;1.351;647;704;91,9;108,8;;;;;;;;;;;;;
;;80 a 84;887;431;456;94,5;105,8;;;;;;;;;;;;;
;;85 y más;743;341;402;84,8;117,9;;;;;;;;;;;;;
;Rural disperso;Total;170.729;91.245;79.484;114,8;87,1;;;;;;;;;;;;;
;;0 a 4;10.618;5.508;5.110;107,8;92,8;;;;;;;;;;;;;
;;5 a 9;12.081;6.268;5.813;107,8;92,7;;;;;;;;;;;;;
;;10 a 14;14.827;7.710;7.117;108,3;92,3;;;;;;;;;;;;;
;;15 a 19;15.462;8.294;7.168;115,7;86,4;;;;;;;;;;;;;
;;20 a 24;12.495;6.636;5.859;113,3;88,3;;;;;;;;;;;;;
;;25 a 29;11.405;5.865;5.540;105,9;94,5;;;;;;;;;;;;;
;;30 a 34;10.494;5.389;5.105;105,6;94,7;;;;;;;;;;;;;
;;35 a 39;11.581;5.962;5.619;106,1;94,2;;;;;;;;;;;;;
;;40 a 44;10.908;5.743;5.165;111,2;89,9;;;;;;;;;;;;;
;;45 a 49;11.467;6.255;5.212;120,0;83,3;;;;;;;;;;;;;
;;50 a 54;11.095;6.134;4.961;123,6;80,9;;;;;;;;;;;;;
;;55 a 59;10.279;5.762;4.517;127,6;78,4;;;;;;;;;;;;;
;;60 a 64;8.967;5.111;3.856;132,5;75,4;;;;;;;;;;;;;
;;65 a 69;6.947;4.021;2.926;137,4;72,8;;;;;;;;;;;;;
;;70 a 74;4.937;2.787;2.150;129,6;77,1;;;;;;;;;;;;;
;;75 a 79;3.344;1.817;1.527;119,0;84,0;;;;;;;;;;;;;
;;80 a 84;2.199;1.144;1.055;108,4;92,2;;;;;;;;;;;;;
;;85 y más;1.623;839;784;107,0;93,4;;;;;;;;;;;;;
18_Caquetá;Total;Total;359.602;182.378;177.224;102,9;97,2;;;;;;;;;;;;;
;;0 a 4;29.488;15.277;14.211;107,5;93,0;;;;;;;;;;;;;
;;5 a 9;34.356;17.630;16.726;105,4;94,9;;;;;;;;;;;;;
;;10 a 14;39.514;20.115;19.399;103,7;96,4;;;;;;;;;;;;;
;;15 a 19;38.919;20.693;18.226;113,5;88,1;;;;;;;;;;;;;
;;20 a 24;32.894;17.119;15.775;108,5;92,1;;;;;;;;;;;;;
;;25 a 29;29.336;14.899;14.437;103,2;96,9;;;;;;;;;;;;;
;;30 a 34;25.949;13.173;12.776;103,1;97,0;;;;;;;;;;;;;
;;35 a 39;24.065;12.109;11.956;101,3;98,7;;;;;;;;;;;;;
;;40 a 44;20.547;9.899;10.648;93,0;107,6;;;;;;;;;;;;;
;;45 a 49;19.090;9.156;9.934;92,2;108,5;;;;;;;;;;;;;
;;50 a 54;17.248;8.204;9.044;90,7;110,2;;;;;;;;;;;;;
;;55 a 59;14.148;6.871;7.277;94,4;105,9;;;;;;;;;;;;;
;;60 a 64;10.930;5.434;5.496;98,9;101,1;;;;;;;;;;;;;
;;65 a 69;8.085;4.045;4.040;100,1;99,9;;;;;;;;;;;;;
;;70 a 74;5.904;3.053;2.851;107,1;93,4;;;;;;;;;;;;;
;;75 a 79;4.244;2.208;2.036;108,4;92,2;;;;;;;;;;;;;
;;80 a 84;2.739;1.388;1.351;102,7;97,3;;;;;;;;;;;;;
;;85 y más;2.146;1.105;1.041;106,1;94,2;;;;;;;;;;;;;
;Cabecera;Total;243.242;117.670;125.572;93,7;106,7;;;;;;;;;;;;;
;;0 a 4;19.714;10.167;9.547;106,5;93,9;;;;;;;;;;;;;
;;5 a 9;22.029;11.221;10.808;103,8;96,3;;;;;;;;;;;;;
;;10 a 14;24.315;12.179;12.136;100,4;99,6;;;;;;;;;;;;;
;;15 a 19;24.723;12.400;12.323;100,6;99,4;;;;;;;;;;;;;
;;20 a 24;23.027;11.367;11.660;97,5;102,6;;;;;;;;;;;;;
;;25 a 29;20.794;10.233;10.561;96,9;103,2;;;;;;;;;;;;;
;;30 a 34;18.074;8.829;9.245;95,5;104,7;;;;;;;;;;;;;
;;35 a 39;16.756;8.042;8.714;92,3;108,4;;;;;;;;;;;;;
;;40 a 44;14.010;6.328;7.682;82,4;121,4;;;;;;;;;;;;;
;;45 a 49;12.908;5.684;7.224;78,7;127,1;;;;;;;;;;;;;
;;50 a 54;11.928;5.178;6.750;76,7;130,4;;;;;;;;;;;;;
;;55 a 59;9.835;4.332;5.503;78,7;127,0;;;;;;;;;;;;;
;;60 a 64;7.811;3.522;4.289;82,1;121,8;;;;;;;;;;;;;
;;65 a 69;5.862;2.693;3.169;85,0;117,7;;;;;;;;;;;;;
;;70 a 74;4.383;2.066;2.317;89,2;112,1;;;;;;;;;;;;;
;;75 a 79;3.227;1.562;1.665;93,8;106,6;;;;;;;;;;;;;
;;80 a 84;2.139;1.026;1.113;92,2;108,5;;;;;;;;;;;;;
;;85 y más;1.707;841;866;97,1;103,0;;;;;;;;;;;;;
;Centro Poblado;Total;17.383;9.009;8.374;107,6;93,0;;;;;;;;;;;;;
;;0 a 4;1.435;728;707;103,0;97,1;;;;;;;;;;;;;
;;5 a 9;1.823;896;927;96,7;103,5;;;;;;;;;;;;;
;;10 a 14;2.395;1.223;1.172;104,4;95,8;;;;;;;;;;;;;
;;15 a 19;2.392;1.381;1.011;136,6;73,2;;;;;;;;;;;;;
;;20 a 24;1.448;836;612;136,6;73,2;;;;;;;;;;;;;
;;25 a 29;1.131;569;562;101,2;98,8;;;;;;;;;;;;;
;;30 a 34;1.081;530;551;96,2;104,0;;;;;;;;;;;;;
;;35 a 39;1.053;516;537;96,1;104,1;;;;;;;;;;;;;
;;40 a 44;946;462;484;95,5;104,8;;;;;;;;;;;;;
;;45 a 49;893;419;474;88,4;113,1;;;;;;;;;;;;;
;;50 a 54;736;372;364;102,2;97,8;;;;;;;;;;;;;
;;55 a 59;601;306;295;103,7;96,4;;;;;;;;;;;;;
;;60 a 64;434;213;221;96,4;103,8;;;;;;;;;;;;;
;;65 a 69;344;170;174;97,7;102,4;;;;;;;;;;;;;
;;70 a 74;262;145;117;123,9;80,7;;;;;;;;;;;;;
;;75 a 79;190;113;77;146,8;68,1;;;;;;;;;;;;;
;;80 a 84;133;80;53;150,9;66,3;;;;;;;;;;;;;
;;85 y más;86;50;36;138,9;72,0;;;;;;;;;;;;;
;Rural disperso;Total;98.977;55.699;43.278;128,7;77,7;;;;;;;;;;;;;
;;0 a 4;8.339;4.382;3.957;110,7;90,3;;;;;;;;;;;;;
;;5 a 9;10.504;5.513;4.991;110,5;90,5;;;;;;;;;;;;;
;;10 a 14;12.804;6.713;6.091;110,2;90,7;;;;;;;;;;;;;
;;15 a 19;11.804;6.912;4.892;141,3;70,8;;;;;;;;;;;;;
;;20 a 24;8.419;4.916;3.503;140,3;71,3;;;;;;;;;;;;;
;;25 a 29;7.411;4.097;3.314;123,6;80,9;;;;;;;;;;;;;
;;30 a 34;6.794;3.814;2.980;128,0;78,1;;;;;;;;;;;;;
;;35 a 39;6.256;3.551;2.705;131,3;76,2;;;;;;;;;;;;;
;;40 a 44;5.591;3.109;2.482;125,3;79,8;;;;;;;;;;;;;
;;45 a 49;5.289;3.053;2.236;136,5;73,2;;;;;;;;;;;;;
;;50 a 54;4.584;2.654;1.930;137,5;72,7;;;;;;;;;;;;;
;;55 a 59;3.712;2.233;1.479;151,0;66,2;;;;;;;;;;;;;
;;60 a 64;2.685;1.699;986;172,3;58,0;;;;;;;;;;;;;
;;65 a 69;1.879;1.182;697;169,6;59,0;;;;;;;;;;;;;
;;70 a 74;1.259;842;417;201,9;49,5;;;;;;;;;;;;;
;;75 a 79;827;533;294;181,3;55,2;;;;;;;;;;;;;
;;80 a 84;467;282;185;152,4;65,6;;;;;;;;;;;;;
;;85 y más;353;214;139;154,0;65,0;;;;;;;;;;;;;
19_Cauca;Total;Total;1.243.503;615.833;627.670;98,1;101,9;;;;;;;;;;;;;
;;0 a 4;95.904;49.090;46.814;104,9;95,4;;;;;;;;;;;;;
;;5 a 9;102.877;52.518;50.359;104,3;95,9;;;;;;;;;;;;;
;;10 a 14;108.906;55.487;53.419;103,9;96,3;;;;;;;;;;;;;
;;15 a 19;115.993;59.335;56.658;104,7;95,5;;;;;;;;;;;;;
;;20 a 24;115.480;58.707;56.773;103,4;96,7;;;;;;;;;;;;;
;;25 a 29;102.787;51.313;51.474;99,7;100,3;;;;;;;;;;;;;
;;30 a 34;94.109;46.551;47.558;97,9;102,2;;;;;;;;;;;;;
;;35 a 39;90.535;44.341;46.194;96,0;104,2;;;;;;;;;;;;;
;;40 a 44;74.112;36.155;37.957;95,3;105,0;;;;;;;;;;;;;
;;45 a 49;67.334;32.282;35.052;92,1;108,6;;;;;;;;;;;;;
;;50 a 54;63.018;30.171;32.847;91,9;108,9;;;;;;;;;;;;;
;;55 a 59;56.084;26.402;29.682;88,9;112,4;;;;;;;;;;;;;
;;60 a 64;45.706;21.961;23.745;92,5;108,1;;;;;;;;;;;;;
;;65 a 69;36.253;17.370;18.883;92,0;108,7;;;;;;;;;;;;;
;;70 a 74;27.360;13.137;14.223;92,4;108,3;;;;;;;;;;;;;
;;75 a 79;21.093;9.784;11.309;86,5;115,6;;;;;;;;;;;;;
;;80 a 84;13.998;6.284;7.714;81,5;122,8;;;;;;;;;;;;;
;;85 y más;11.954;4.945;7.009;70,6;141,7;;;;;;;;;;;;;
;Cabecera;Total;492.229;233.586;258.643;90,3;110,7;;;;;;;;;;;;;
;;0 a 4;32.433;16.724;15.709;106,5;93,9;;;;;;;;;;;;;
;;5 a 9;34.629;17.591;17.038;103,2;96,9;;;;;;;;;;;;;
;;10 a 14;37.907;19.260;18.647;103,3;96,8;;;;;;;;;;;;;
;;15 a 19;42.083;21.412;20.671;103,6;96,5;;;;;;;;;;;;;
;;20 a 24;45.545;22.905;22.640;101,2;98,8;;;;;;;;;;;;;
;;25 a 29;41.692;20.285;21.407;94,8;105,5;;;;;;;;;;;;;
;;30 a 34;38.710;18.356;20.354;90,2;110,9;;;;;;;;;;;;;
;;35 a 39;38.125;17.785;20.340;87,4;114,4;;;;;;;;;;;;;
;;40 a 44;31.337;14.352;16.985;84,5;118,3;;;;;;;;;;;;;
;;45 a 49;29.653;13.199;16.454;80,2;124,7;;;;;;;;;;;;;
;;50 a 54;28.726;12.673;16.053;78,9;126,7;;;;;;;;;;;;;
;;55 a 59;25.153;10.910;14.243;76,6;130,5;;;;;;;;;;;;;
;;60 a 64;20.068;8.737;11.331;77,1;129,7;;;;;;;;;;;;;
;;65 a 69;15.327;6.654;8.673;76,7;130,3;;;;;;;;;;;;;
;;70 a 74;11.060;4.802;6.258;76,7;130,3;;;;;;;;;;;;;
;;75 a 79;8.431;3.443;4.988;69,0;144,9;;;;;;;;;;;;;
;;80 a 84;5.879;2.398;3.481;68,9;145,2;;;;;;;;;;;;;
;;85 y más;5.471;2.100;3.371;62,3;160,5;;;;;;;;;;;;;
;Centro Poblado;Total;131.451;65.385;66.066;99,0;101,0;;;;;;;;;;;;;
;;0 a 4;9.798;4.997;4.801;104,1;96,1;;;;;;;;;;;;;
;;5 a 9;10.682;5.411;5.271;102,7;97,4;;;;;;;;;;;;;
;;10 a 14;11.222;5.688;5.534;102,8;97,3;;;;;;;;;;;;;
;;15 a 19;12.179;6.194;5.985;103,5;96,6;;;;;;;;;;;;;
;;20 a 24;12.498;6.439;6.059;106,3;94,1;;;;;;;;;;;;;
;;25 a 29;11.221;5.658;5.563;101,7;98,3;;;;;;;;;;;;;
;;30 a 34;10.303;5.187;5.116;101,4;98,6;;;;;;;;;;;;;
;;35 a 39;9.952;4.985;4.967;100,4;99,6;;;;;;;;;;;;;
;;40 a 44;8.525;4.174;4.351;95,9;104,2;;;;;;;;;;;;;
;;45 a 49;7.560;3.611;3.949;91,4;109,4;;;;;;;;;;;;;
;;50 a 54;6.533;3.188;3.345;95,3;104,9;;;;;;;;;;;;;
;;55 a 59;5.736;2.706;3.030;89,3;112,0;;;;;;;;;;;;;
;;60 a 64;4.544;2.207;2.337;94,4;105,9;;;;;;;;;;;;;
;;65 a 69;3.463;1.632;1.831;89,1;112,2;;;;;;;;;;;;;
;;70 a 74;2.666;1.268;1.398;90,7;110,3;;;;;;;;;;;;;
;;75 a 79;1.994;953;1.041;91,5;109,2;;;;;;;;;;;;;
;;80 a 84;1.376;589;787;74,8;133,6;;;;;;;;;;;;;
;;85 y más;1.199;498;701;71,0;140,8;;;;;;;;;;;;;
