;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;;75 a 79;13.887;6.791;7.096;95,7;104,5;;;;;;;;;;;;;
;;80 a 84;8.940;4.247;4.693;90,5;110,5;;;;;;;;;;;;;
;;85 y más;7.944;3.579;4.365;82,0;122,0;;;;;;;;;;;;;
;Cabecera;Total;561.778;274.716;287.062;95,7;104,5;;;;;;;;;;;;;
;;0 a 4;44.179;22.464;21.715;103,4;96,7;;;;;;;;;;;;;
;;5 a 9;48.383;24.782;23.601;105,0;95,2;;;;;;;;;;;;;
;;10 a 14;50.683;25.850;24.833;104,1;96,1;;;;;;;;;;;;;
;;15 a 19;52.095;26.798;25.297;105,9;94,4;;;;;;;;;;;;;
;;20 a 24;48.402;24.359;24.043;101,3;98,7;;;;;;;;;;;;;
;;25 a 29;45.129;22.039;23.090;95,4;104,8;;;;;;;;;;;;;
;;30 a 34;40.281;19.445;20.836;93,3;107,2;;;;;;;;;;;;;
;;35 a 39;38.715;18.410;20.305;90,7;110,3;;;;;;;;;;;;;
;;40 a 44;33.593;15.865;17.728;89,5;111,7;;;;;;;;;;;;;
;;45 a 49;33.273;15.575;17.698;88,0;113,6;;;;;;;;;;;;;
;;50 a 54;31.337;14.857;16.480;90,2;110,9;;;;;;;;;;;;;
;;55 a 59;26.653;12.579;14.074;89,4;111,9;;;;;;;;;;;;;
;;60 a 64;21.100;9.891;11.209;88,2;113,3;;;;;;;;;;;;;
;;65 a 69;16.535;7.673;8.862;86,6;115,5;;;;;;;;;;;;;
;;70 a 74;11.778;5.518;6.260;88,1;113,4;;;;;;;;;;;;;
;;75 a 79;8.710;3.983;4.727;84,3;118,7;;;;;;;;;;;;;
;;80 a 84;5.752;2.511;3.241;77,5;129,1;;;;;;;;;;;;;
;;85 y más;5.180;2.117;3.063;69,1;144,7;;;;;;;;;;;;;
;Centro Poblado;Total;180.341;93.351;86.990;107,3;93,2;;;;;;;;;;;;;
;;0 a 4;15.394;7.934;7.460;106,4;94,0;;;;;;;;;;;;;
;;5 a 9;17.878;9.214;8.664;106,3;94,0;;;;;;;;;;;;;
;;10 a 14;18.815;9.736;9.079;107,2;93,3;;;;;;;;;;;;;
;;15 a 19;17.297;9.062;8.235;110,0;90,9;;;;;;;;;;;;;
;;20 a 24;14.549;7.509;7.040;106,7;93,8;;;;;;;;;;;;;
;;25 a 29;13.106;6.705;6.401;104,7;95,5;;;;;;;;;;;;;
